Species,Name,NCBI_Accession,NCBI_Assembly,URL
Klebsiella,hvKP340,GCF_024496165.1,ASM2449616v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_024496165.1/
Klebsiella,IM007,GCF_027942215.1,ASM2794221v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_027942215.1/
Klebsiella,IM029,GCF_027942195.1,ASM2794219v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_027942195.1/
Klebsiella,KP144,GCF_054693465.1,ASM5469346v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_054693465.1/
Klebsiella,KP1517,GCF_017809835.1,ASM1780983v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_017809835.1/
Klebsiella,NK-603,GCF_052906805.1,ASM5290680v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052906805.1/
Pseudomonas,2868,GCF_028404085.1,ASM2840408v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_028404085.1/
Pseudomonas,59,GCF_029916825.1,ASM2991682v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_029916825.1/
Pseudomonas,A31005,GCF_050242775.1,ASM5024277v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_050242775.1/
Pseudomonas,AR_0353,GCF_002968655.1,ASM296865v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002968655.1/
Pseudomonas,Carb01_63,GCF_000981825.1,ASM98182v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000981825.1/
Pseudomonas,DSM_50071,GCF_001045685.1,ASM104568v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001045685.1/
Pseudomonas,NY4383,GCF_031223175.1,ASM3122317v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_031223175.1/
Pseudomonas,NY5524,GCF_030121935.1,ASM3012193v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_030121935.1/
Pseudomonas,PA14,GCF_000014625.1,ASM1462v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000014625.1/
Pseudomonas,PA6567,GCF_044759005.1,6567,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_044759005.1/
Pseudomonas,C4.2,GCF_026727755.1,ASM2672775v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_026727755.1/
Pseudomonas,CH1,GCF_036542105.1,ASM3654210v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036542105.1/
Pseudomonas,JBPA,GCF_033615795.1,ASM3361579v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_033615795.1/
Pseudomonas,p55,GCF_050908775.1,ASM5090877v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_050908775.1/
Pseudomonas,PAO1,GCF_000006765.1,ASM676v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000006765.1/
Pseudomonas,Pa1207,GCF_002208645.1,ASM220864v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002208645.1/
Pseudomonas,Pa3,GCF_025723085.1,ASM2572308v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_025723085.1/
Pseudomonas,Pa58,GCF_002192495.1,ASM219249v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002192495.1/
Pseudomonas,PAC1,GCF_013201115.1,ASM1320111v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_013201115.1/
Pseudomonas,SS-209,GCF_053747595.1,ASM5374759v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_053747595.1/
Staphylococcus,2010N21-057,GCF_038429035.1,ASM3842903v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_038429035.1/
Staphylococcus,ATCC_12600,GCF_006094915.1,ASM609491v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_006094915.1/
Staphylococcus,BPH2947,GCF_045345275.1,BPH2947__202310,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_045345275.1/
Staphylococcus,DSM_20231,GCF_026167765.1,ASM2616776v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_026167765.1/
Staphylococcus,FDAARGOS_773,GCF_006364675.1,ASM636467v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_006364675.1/
Staphylococcus,Gv51,GCF_001515665.1,ASM151566v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001515665.1/
Staphylococcus,Gv88,GCF_001515705.1,ASM151570v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001515705.1/
Staphylococcus,IDSA1,GCF_045862735.1,ASM4586273v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_045862735.1/
Staphylococcus,M48,GCF_004136255.1,ASM413625v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_004136255.1/
Staphylococcus,MRSA107,GCF_002895385.1,ASM289538v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002895385.1/
Staphylococcus,NCTC_8325,GCF_000013425.1,ASM1342v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000013425.1/
Staphylococcus,SA0413Rev,GCF_044789125.1,ASM4478912v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_044789125.1/
Staphylococcus,TUM,GCF_003945425.1,ASM394542v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003945425.1/
Staphylococcus,Taliyah,GCF_026625305.1,ASM2662530v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_026625305.1/
Staphylococcus,V521,GCF_001641025.1,ASM164102v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001641025.1/
Staphylococcus,V605,GCF_001641045.1,ASM164104v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001641045.1/
Staphylococcus,Z0118SA0043,GCF_054906615.1,ASM5490661v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_054906615.1/
Staphylococcus,Z0118SA0044,GCF_054906605.1,ASM5490660v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_054906605.1/
Staphylococcus,CUBIST-27,GCF_041531615.1,CUBIST-27,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_041531615.1/
Staphylococcus,Zed,GCF_026625265.1,ASM2662526v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_026625265.1/
